stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Oocyte,Osteoblast,Retinal_cell,Retinal_cone_cell
72hpf,0,0.28,0,0,0.28,0,5.07,0,1.13,0.85,0.56
21Day,0.37,1.48,0.37,0,1.85,0.37,0,0,0.37,0.74,7.77
22Month,0,0,0,0.27,0,0,0,0.14,0,0,0
