stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,10.43,0.28,1.13,0,0.56,0.28,0,1.69,3.38,0,0,1.13,0,0,0,0,0,0
21Day,0.37,0,0,3.7,0,0,0.37,0,0,0,0,0,0,0.37,0,0.37,2.96,1.11,1.85,0,0,0,0,0.37,1.48,0,0,1.48,0,0,0,0.37,0,0.74
3Month,0,0.31,0.94,29.44,0.1,0.31,0.42,0,2.81,3.22,0.1,8.95,2.6,0.1,15.08,0.83,5.2,8.63,5.1,1.56,0,0.94,1.25,0.21,0.31,0.62,0.21,0,0.73,4.26,0.21,0.73,0.73,8.95
22Month,0,0.41,1.64,5.6,0,0,0,0.27,1.5,1.91,0.55,14.07,0.41,0.55,31.57,0,0.55,1.78,1.78,0,0.82,0.27,0,0,0,0.55,0.27,0,0,0.82,0,0.14,0,1.23
