stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.11,0,0.37,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0.37,0,0,0.74,0,0,0,0,0,0,0,0,0,0
3Month,0.83,0.52,6.35,0.31,0.31,4.06,1.35,0.21,17.99,0.52,0.42,9.57,0.21,1.87,1.35,3.22,0.83,0,4.06,0.94,0,0,0.52,0.1,0.21,0.52,3.33,0,0,0.52,2.08,2.39
22Month,1.23,0.68,1.91,0.14,0.27,0.68,0.68,0.96,12.3,0.68,1.09,3.14,0,0.55,1.5,2.73,0,0.27,2.73,0.14,0,0,0.27,0.41,0.14,0,0.41,0.27,0,0.14,0,0.55
