stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,1,7,1,3,0,0,2,4,5,0,32,1,0,0,0
72hpf,0.28,0,0,0,0,0,0,0.28,0.56,0.85,2.25,0.56,0.28,0,0.28,0
21Day,0.37,0,0.37,0.37,0,0,0.37,0.37,0,0.37,0.37,0,0.37,0,0,0.37
22Month,0,0,0,0,0,0.14,0,0,0,0.41,0,0,0,0.14,0,0
