stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,6,0,9,1,0,0,0,0,0,0,0,0,0,0,2,1,321,0,0,0,0,45,0,0,106,0,0,0,0,0,1,0,0,0
72hpf,4.23,2.25,0,2.25,0.28,4.23,0,0,0,0,0,0,0,0,0.56,4.79,0.28,252.54,0.28,0,1.13,19.17,10.15,0.28,0.28,214.2,0,0,2.54,0,0.28,2.25,0,0,0
21Day,2.22,0,0.37,3.7,0,4.07,0,0.74,0,0,0,0,0.37,0.37,0.74,1.85,0.74,195.35,0,0,0.37,4.07,1.48,0,0,102.86,2.96,0,0.37,0.37,1.48,0.37,0,0,0
3Month,0,0.42,0,2.91,0,0,0.42,0,7.7,0.73,1.98,0.1,0,1.04,0.42,0.21,0.73,39.73,10.3,0,1.98,0.1,0,0.31,0,0.31,0.1,0.42,0,0,0,0.21,0.31,0.94,0.31
22Month,0,0.14,0,0.96,0,0,0,0,1.09,0.55,5.19,0.14,0.14,0.41,0,0,0.68,15.99,0.82,0.14,0.55,0,0,0,0.14,0,0.14,0.55,0,0,0,0,0,0,0.14
