stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0.37,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37
3Month,1.87,7.91,0.31,0.21,10.92,1.04,2.18,4.68,0.1,36.93,0.1,2.18,2.7,0.1,0.21,2.18,0.21,0.31,0.52,0.1,0,0.42,0.31,1.04
22Month,0.96,1.78,0.14,0,3.69,1.37,2.19,0.55,0.41,17.9,0.14,0.14,1.5,0.27,0,0.55,0,0.27,0,0,0.14,0,0,0.68
