stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.85,0,0.28,0,0,0,0,0,0,0,0,0.85,1.13,0,1.69,0,0.56,0,4.79,3.66,0.56,0,0.28,0,0,1.13,0,0,0,0,0
21Day,1.48,0.37,0,1.85,0,1.48,0,0.37,0,0,0,0,0.74,0,0,0.74,0.37,1.11,0,1.11,0,2.22,1.48,0,0,1.48,0.37,0,0,0.37,0.37,0,0,0
3Month,0.1,0.52,0.1,3.22,0,0,0.21,0.21,0.21,1.25,3.22,0.1,0,1.04,0.21,1.46,0.42,1.56,0.1,0.31,0.31,0.52,0.1,0.31,0,0,0.1,3.85,0,0,0,0.42,2.08,0.83
22Month,0,0.27,0.14,0.96,0.14,0,0.14,0,0.27,0.41,6.56,0.41,0.27,0.82,0,0.14,0.55,1.5,0,0.41,0,0,0,0.14,0.41,0,0,0.27,0.14,0,0,0,0,0.41
