stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,7.33,0.28,0,0,0,0,0,0,0
21Day,1.11,0,0,0,0.74,0,0,4.07,0,0.37,0.37,0.37,0.37,0,0,0
3Month,0,0.21,0,0.1,0,0.1,0,0,0,0.1,0,0,0,0,0.83,0.1
22Month,0,1.37,0.14,0,0,0.14,0.14,0,0,0.14,0,0,0,0.14,0,0
