stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,2.25,0.28,0,0,0,0,0,0,0,0.56,2.54,0,8.46,0,0,0.28,1.97,1.13,0,0,9.58,0,0.56,0,0,1.13,0,0
21Day,6.66,1.48,1.11,0.37,0,0,0,0.37,0.37,0.74,0,0.37,0,20.35,0,0,2.22,1.48,1.48,0,0,10.73,0.37,0,0,0.37,0.74,0,0
3Month,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0.27,6.01,2.6,0,0.14,0.27,5.88,12.98,0.14,0.14,0.41,0.14,0.96,8.34,0.41,0.14,2.19,0,0,0.14,0.14,0.68,0,0,0.14,0,0.14,0.55,0.14
