stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.85,0.56,0.28,0,0,0,0,0,0,0,0,0,0.56,1.97,0,1.41,0,0,0.28,0,12.12,3.1,0,1.13,0,0,1.13,0.28,0,0,0,0
21Day,0.37,0,0,2.96,0.37,0.74,0,0,0,0,0,0,0,0.37,0,0,0.37,0,2.96,0,0,0.74,0,3.7,1.11,0,0.74,0.37,0,0.74,0,0,0,0,1.11
3Month,0.1,0.42,0.1,4.37,0,0,0,0.31,0.52,0.1,0,3.74,0.21,0.1,1.14,0,0.83,0.94,1.66,0.42,0,0.31,0.21,0.1,0,0.21,0,0.21,25.69,0.42,0,0,0.42,6.66,0.83
22Month,0,0.41,0.41,1.23,0,0,0.14,0.14,2.05,1.5,0,16.81,0.27,0.27,1.78,0.14,0.14,1.5,2.73,0,0.41,0,0.14,0.27,0,0.27,0,0.14,12.44,0,0.27,0.14,0,0.14,0.82
