stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte
3Month,0.31,0.42,0.42,0.1,0.21,0.1,0.21,0.21
22Month,0,0.55,0,0,0,0,0,0
