stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.56,0,0,0,0,0.28,0,0,0.56,0,0,0,0,0,0,0
21Day,0.74,0.37,0.74,0,0.37,0,0,0.37,0,0,0,0.74,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37
3Month,0,0.31,1.87,0.21,0,0.42,0.31,3.85,0.52,0.83,0.1,0.31,0.94,0.21,0,0.42,0.1,0,0,0.31,0.1,0,0.21,0.62,0.1,0.1,0.21,0.1,0.1
22Month,0,0.27,0.55,0,0,0.27,0.96,2.46,0,0.41,0,0,0.41,0.14,0.14,0,0,0,0,0.14,0.14,0,0,0.27,0.14,0,0,0,0.14
