stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
72hpf,0,0.28,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0
21Day,0,0,0,6.29,0,1.11,0,0,0.37,0,0,0,0.37,0.37,1.11,0,0,0,0,0.74,0,0,0,0.37,0,0,0,0.37,0,0,0
3Month,0,0,0.1,4.89,0.1,11.86,0.21,0,1.56,0.1,0,0.62,0.62,0.1,0.62,0.62,0,0.21,0.21,0.1,0,0.1,0.1,0.1,0.94,0.1,0.1,0,0.21,0.1,0
22Month,0.27,0.14,0,1.09,0,2.32,0.14,0,3.14,0.27,0.14,0.41,0,0.27,0.55,0,0.14,0.27,0,0,0,0.27,0,0.27,0.27,0,0,0,0,0,0.27
