stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,99,1,1,0,0,0,3,14,0,0,2,0,0,0,0,0
72hpf,0.85,0,0,17.19,0.28,0,0,0,0,0,0,0,0,0,0,85.96,0.28,2.54,0,0,0,5.64,3.1,0,0.28,3.38,0,0,0.28,0,0
21Day,1.11,0,0,32.93,0,0.37,0,0,0,0,0,0,0.74,0,0,14.8,0,2.59,0,0,0,1.11,0.37,0,0,2.96,1.11,1.11,0.37,0,0
3Month,0,0.1,0.1,12.38,0,0,0,1.04,0.62,0.1,1.66,0.31,0,0.1,0.21,14.87,0.21,3.64,4.26,0.1,0.1,0,0,0.1,0.1,0,0.42,2.81,0,0.1,0.1
22Month,0,0,0,1.5,0,0,0.14,0.41,0,14.07,3.96,0,0.14,0.27,0,1.91,0.14,5.19,3.55,0,0,0,0,0.14,0,0,0.14,2.05,0.14,0,0.55
