stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,2,0,15,1,0,0,0,0,0,0,0,0,7,33,0,0,5,133,0,9,0,0,0,0,0,0
72hpf,0,0,1.97,0.28,0,0.28,0,0,0,0.85,0,1.13,0,11.56,0,0,3.95,4.79,0.28,26.49,0,0,7.33,0.28,0.28,0
21Day,0.74,0.37,2.22,0,0.74,1.48,0,0.37,0,6.29,0,0.37,1.48,18.87,0,0.74,1.48,4.07,0.37,23.68,1.11,0,5.55,0,2.59,3.33
3Month,0,0,0.31,0,0.1,7.28,0,0.31,0.42,1.25,0.1,0.1,3.64,4.89,15.71,0.42,0.21,0.21,0.1,0.42,0,0.21,0.1,0,0,1.56
22Month,0,0,0,0,0,1.23,0.14,0.55,0,0.41,0,0,0.96,3.14,0.82,0,0,0,0,0.14,0,0,0,0,0,0
