stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,0,0,0.56,0.85,0.28,0,0,0,0,0,0,0,0,0.28,0,1.97,0,0.28,0,32.41,13.53,0,0.28,1.97,0,0,1.69,0.28,0.28,0,0,0,0
21Day,1.85,0.74,1.11,0,0,0.37,0,0,0,0,0,0.74,0.37,0.37,1.48,0,1.11,0,1.11,0,6.66,5.92,0,0,0.74,1.11,0.37,0,0,0,0.37,0,0,0
3Month,0.21,0.31,0.73,0.1,0,0.1,0,0.31,0,4.47,0.1,0.1,0.73,0,0.1,0.31,1.25,0,0.42,1.35,0.1,0,0,0,0.1,0.1,1.87,0,0,0,0,0.21,1.04,0.42
22Month,0,0.27,2.05,0,0,0.41,0.14,0.55,0.27,12.85,0.68,1.37,1.23,0,0.27,0.27,2.19,0.68,0.27,0.27,0,0,0.14,0.41,0.27,0,1.64,0.14,0,0,0,0.14,0,0.27
