stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,1,1,0,9,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0,0,0,0,0,0,0,1.69,0.85,0,0,0,0,0,0.56,0.56,0,0.28,0,0,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0
3Month,0,0,0.83,13.31,0.1,0.31,7.7,0.1,0.83,0.31,15.08,0,0.21,0.62,0.21,0.1,0.31,0.1,0.1,0,0.21,0,0.42,0.42,0.1,1.14,0.42
22Month,0,0.14,0.68,10.52,0,0,1.5,0,0.55,0,8.47,0,0,0.14,0,0.14,0.14,0,0.14,0,0,0,0,0,0,0,0.14
