stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Muscle_cell,Primordial_germ_cell
3Month,0.94,0.1,0.1,0.21,0.1,5.72,0.1
22Month,0,0,0,0,0,0.41,0
