stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,2,0,0,1,2,55,1,0,2,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0.28,3.1,0,0,0,0.85,1.13,0,0,1.69,0,0,1.97,0,0,0,0
21Day,0.37,0,0,0.37,0.37,0,0,0,0,0,0,0,0,1.11,0,0,0.37,0.37,1.85,0,0,0.37,0.37,1.85,0,0,1.11,0,0,0.74,0,0,0,0
3Month,0,0.31,0.21,10.61,0.1,0,0.1,0.1,0.31,1.14,0,6.76,0.83,0.31,1.87,3.22,1.04,1.35,2.18,0.31,0.42,1.35,1.14,0.42,0.42,0,0.1,0.83,11.86,0.21,0.31,0.52,222.7,2.91
22Month,0,0.27,0,3.01,0.14,0,0,0,0.14,0.41,3.69,5.06,0.27,0.14,0,0,0.14,1.5,0,0,0.41,0,0,0.14,0.14,0.14,0,0,2.87,0,0,0,0.14,0.96
