stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.56,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0.56,0,0,0,0,13.53,1.69,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0.37,0.37,0.37,0,0.74,0,0,0,0,0,0.37,0.37,0.37,0.37,0,1.48,0,0,0,0,12.95,0.37,0,0.37,0,0,0.74,0,0,0,0,0,0
3Month,0.52,0.31,4.47,0.1,0,0.1,0.1,0.62,0.73,0,15.39,1.25,0,1.66,0.52,2.08,1.35,1.46,0.21,0,0.62,0.21,0.31,0,0.21,0.1,0,0.1,0.21,2.81,0,0.1,0.52,8.63,1.25
22Month,0.55,0.55,2.32,0,0,0.14,0.27,0.27,3.69,0.96,49.33,1.5,0.41,3.14,0.14,0.14,2.19,2.73,0,0.41,1.09,0,0.14,0,0.55,0.27,0.27,0,0.14,0.14,0.27,0,0.27,0,0.55
