stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,0,1.41,1.69,0,0,0,0,0.28,0,0,0,0.56,1.13,0.28,5.36,2.82,0,0,25.65,26.21,0.28,0,4.23,0,0,6.76,0,0.56,0,0,0
21Day,2.22,1.11,0.37,4.44,0.37,0.74,0,0,0,1.85,0,1.85,0.37,0,1.11,2.59,12.21,0,1.48,0,11.47,6.29,0,0,2.96,0,0.37,1.48,1.11,0,0,0,1.85
3Month,0,0.1,0.21,0.94,0,0,0.31,0.21,0,41.5,0.1,0,0.42,0.1,0.31,0,1.14,0.31,0.21,0.21,0,0,0,0.1,0.1,0.31,0.1,0,0,0,0.1,0.31,0.62
22Month,0.14,0,0,0.14,0,0,0.14,0.14,7.79,24.05,0,0,0,0,0,0.14,0.55,2.05,0,0,0,0.14,0,0,0,0,0.14,0,0,0,0,0,0.14
