stage,Epithelial_cell,Hepatocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,1,0,0,0
72hpf,0,0,0,1.69,0.28,0
21Day,0,0,0,1.48,0.37,0.74
22Month,0.14,0.41,0,0,0,0
