stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,80,1,0,0,0,0,1,0,0,0,1,2,1,22,0,0,0,3,84,0,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,21.42,2.25,1.69,0,0,0,0,0,0,0,0,6.48,0,10.15,0,0.56,0,9.58,3.95,0.28,0,0,3.1,0.28,0,0.56,0.28,0,0.28,0,0,0
21Day,0.74,0,0,14.8,0.37,0.74,0,0,0,0,0,0.37,0,0,1.48,0.37,5.55,0,0,2.59,12.95,1.48,0,0,0,2.59,1.48,0,0.37,0.37,0.37,0,0,0,0.37
3Month,0,0.1,0,2.6,0.1,0,0.1,0.31,0.42,0,0.62,0.31,0.62,0.31,3.85,0.31,2.08,0.1,0,0.62,0.1,0,0.73,0.1,0,0.62,0,0.21,1.04,0,0,0,1.46,1.25,0
22Month,0,0.14,0.27,0.27,0,0,0.14,0.27,0,1.37,1.78,0,0,0,0.55,0,0.27,0,0.27,0.41,0.14,0.41,0,0,0.14,0,0,0.14,3.69,0,0,0,1.23,0,0.41
