stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,6,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.85,0,0.56,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0,0.28,0,0.28,0.28,5.07,2.25,0.28,0,0,0.28,0,0,0,0.28,0,0,0
21Day,0,0,0,4.07,0.37,0,0.74,0,0,0,0,0,0,0.37,0.37,1.11,0,0.37,0,0,0,8.14,1.85,0,0,0,1.11,0,0.37,0.37,1.11,0,0,0
3Month,0,0.1,0,4.26,0,0.1,0.83,2.91,0,0,0,2.6,0.62,0.73,0.31,0.31,0.42,0.31,0.1,0,0.1,0.31,0.1,0.73,0,0,0,0.42,1.46,0,0,0.1,1.25,0.31
22Month,0,0.14,0.14,2.05,0,0.14,0.14,0.55,0.41,0.14,0,9.29,0.27,0.82,0,0,0.14,0.55,0,0,0,0.14,0,0.68,0.14,0.14,0.14,0,0.96,0.14,0,0,0,0
