stage,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
72hpf,0,0,0.28,0,6.48,0.85,0
21Day,0,0,0,0.37,1.11,0.37,0
22Month,0.14,0.14,0,0,0,0,0.14
