stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,6,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0.56,0,0,4.79,0.56,0,0,0.28,0,0,0,0,0
21Day,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0.37,0.74,0,0,0.37,0,0,0,0,0
3Month,0,0.52,0,1.46,0.21,0.1,0.31,1.46,0,21.95,1.56,0.31,0.94,0.1,0.52,2.39,0.94,0.1,0.1,0.21,0.1,0.1,0.1,0,0.1,0,0.42,3.95,0.21,0.42,1.14
22Month,0.14,0,0.14,0.82,0.14,0,0.14,0.68,0.68,12.16,0.41,0,1.09,0,0.27,0.82,1.09,0,0,0.55,0,0,0,0.14,0,0.14,0,0,0.14,0,0.82
