stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,0,0,0,0,0,0,0,0
72hpf,0,0,0.85,0.28,0,0,0,0,0,0,0,0,0,0.85,0,0.85,0,0,2.54,1.97,0,0.85,0,0,0,0.28,0,0
21Day,0.74,0.37,2.22,0,0,1.11,0,0,0.37,0,0,0,0,0.37,0,0.37,0,0.74,1.48,0.37,0,1.11,0,0.37,0.37,0,0,0
3Month,0,0,0.21,0,0.1,0,0.31,0,0.83,0.31,0,0.21,0.1,0.21,0,0,0.1,0,0,0,0.1,0,0.52,0,0,0,0.1,0
22Month,0,0,0.14,0,0,0,0.14,0.14,3.14,0.14,0.14,0.14,0,0,0.14,0.41,0,0,0,0.14,0,0,0,0,0,0,0,0.14
