stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0,32.98,0.28,0.28,0.85,1.13,0,0,0.28,0.28,0,0
21Day,0,0,1.11,1.11,0,0,0,0,0,0.37,0,0,0,1.48,0,0,18.5,1.11,0,1.48,1.11,0.37,0.37,0.74,2.22,0,0.37
3Month,0,0,0.1,0,0,0.21,0,0.42,0,0,0.21,0,0.21,0.21,0.1,0,0,0,0.1,0.62,0,0,0.1,0.1,0,0.21,0
22Month,0,0,0.14,0,0.14,0.27,0.14,3.01,0.14,0,0.41,0,0.14,0.27,0,0.14,0.14,0,0.27,0.14,0,0,0.55,0,0,0,0.14
