stage,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,0,0,1,0
72hpf,0,0,0,0,0.56,0.56,0.85,0
21Day,0,0,0,0,0,1.85,0,0
3Month,0.1,0,0.1,0,0.1,0,0,0
22Month,0,0.14,0,0.14,0,0,0,0.14
