stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,4,25,1,0,3,0,0,0,0,0,0,0,0
72hpf,2.82,0.28,0,0.56,0,0.85,0,0,0,0,0,0,0.28,0,0,1.97,0.56,7.05,0,0,0.28,0,290.59,7.61,1.69,0.85,4.79,0,0.28,0.85,3.38,4.79,0.28,0,0
21Day,1.48,0.74,0.37,7.77,0,8.14,1.11,0,0.37,0,1.11,0.74,1.11,0.74,0.37,4.81,1.11,8.51,0,0,1.11,0,271.57,5.92,0.37,0.37,4.44,5.18,0,1.85,17.76,54.02,0.37,0,0.37
3Month,0,0.1,0.1,1.56,0.1,0,0,0.52,0.42,0,3.54,0.62,0,0.94,0.31,0.42,0.31,1.46,0.21,0,0,0.31,6.45,0,2.18,0.1,0.1,0,2.81,0.1,0,0,0,0.31,0.31
22Month,0,0.27,0.14,1.09,0,0,0.27,0.27,1.37,0.27,10.93,0.14,0.41,1.23,0,0.14,0.41,0.82,0,0.27,0.27,0,3.42,0,1.5,0,0,0,3.28,0.68,3.69,0,0,0,0
