stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Mesenchymal_cell,Neurosecretory_cell,Radial_glia
3Month,0,0.1,0,0.1,0.1,0,0.1
22Month,0.14,0,0.27,0.55,0,0.14,0
