stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,0,3,25,0,0,1,0,0,0,0,0
72hpf,1.13,0.56,1.97,0,0.56,0,0,0,0.28,0,0,0.28,0,0.85,2.82,0,3.1,0.28,0,0,29.03,9.58,0.28,0.56,1.69,0,0.28,2.54,0,0
21Day,1.85,0,2.59,1.11,0.37,0,0,0,0,0.37,0,2.22,0,0.37,0,0.37,4.44,0,0.37,0,8.14,4.44,0,0,1.11,0.37,0.74,1.11,0,1.11
3Month,0,0.1,1.98,0,0,0.1,0.21,0.42,0,1.56,0.1,0.1,0.42,0.1,0.42,0.31,0.31,0,0,0.21,0.21,0.1,0.1,0,0,0,0.52,0,0.31,0.42
22Month,0,0.14,0.27,0,0,0,0.14,0.27,0.14,2.87,0.14,0,0.41,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14
