stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.56,0,0,0,0,0,0
21Day,0.74,0,0,1.11,0.74,0,0,0,0,0,0.74,0,0,0,0.74,0,0.74,0,0,1.11,0.74,0.37,26.64,0,0,0
3Month,0,0,0,0.31,0,0.1,0.1,0.1,0,3.12,0.52,0.1,0.21,0.1,0.21,1.56,0.31,0.42,0.21,0,0,0,13.42,0.31,0.21,0.42
22Month,0,0.41,0.14,1.09,0,0.14,0,0.41,6.56,5.06,0.41,0.41,0.27,0,0,0.55,0.41,0,0,0.14,0,0,2.46,0.27,0,0.55
