stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0,4.26,0,0,0.1,0.1,0.31,0,1.77,0.21,0,0.21,0.1,0.73,0.31,0,0,0,0,0,0.21,0,1.14,0.1,0.1
22Month,0.14,0.41,0,0.14,0.14,0.14,0,0.96,5.88,0.27,0.41,0,0.41,0.96,0,0.55,0.14,0,0.14,0.27,0,0.14,0.14,0,0
