stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,2.54,0,0,0,0
3Month,0.42,0.1,0.1,13.11,0.21,0.31,0.1,0.31,0.42,0.1,0.21,0.1,0.21,1.25,0.31,0.21
22Month,0,0,0,1.23,0,0,0,0,0,0.27,0,0,0,0,0,0
