stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,1,1,1,6,0,0,0,0
72hpf,0.56,0.28,0,0,0.28,0.28,3.1,1.13,1.41,0.28,0,0
21Day,0.37,1.48,0,0.37,0.37,0.74,1.11,0.37,0,0,0.37,0.37
3Month,0,0.31,0.1,0,0.1,0,0.1,0,0,0,0,0
