stage,Epithelial_cell,Epithelial_cell__Brain_,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,1,0,0,0,0,1,0,3,0,0,0
72hpf,0.56,0.28,0,0,0,0.28,0.56,0,1.41,0,0.56,0,0
21Day,0,0.37,0,0,0.37,0,0.37,0.37,1.11,0,0,0,0.37
3Month,0.21,0,0,0,0.1,0,0,0,0,0,0,0.31,0
22Month,0,0,0,0.41,0,0,0,0,0,0,0,0,0
