stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.56,0,0.28,0,0,0,0,0,0,0.28,0,0,0.28,0,1.13,0,0.28,0,0,0.56,2.82,0,0,0,0,0,0,1.13,0,0,0
21Day,1.48,0,0,0.37,0,0,0,0,0,0,0.37,0,0.37,0.37,0.37,0.74,0,0,0,0,0.37,1.85,0,0,0,0.74,0.37,1.48,0.37,0,0,0.37
3Month,0.1,0.42,0.42,6.03,0.42,0.42,1.14,0,99.34,1.04,0.31,11.55,2.18,1.25,1.04,1.77,0.31,0.31,0.42,1.46,0.21,0.31,0.62,0,0,0.31,1.98,68.03,0.21,1.87,7.7,1.14
22Month,0,0.96,0.55,2.46,0.14,0.27,0.68,0.82,172.86,0.41,0,20.5,0.41,0.14,1.5,1.09,0,2.19,0,0,0,0,0.27,0.14,3.14,0,0.14,8.2,0,0,0,0.27
