stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell__Brain_,Erythrocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,1,14,0,0,1,0,0,0,0
72hpf,0.28,0.28,0.28,0,0,0.28,2.82,0,23.39,7.05,0,0.28,1.97,0,1.13,0.28,0
21Day,0.37,0.37,0,0.37,0.37,0.37,1.48,0.37,11.47,2.22,0.37,0,0.37,0.37,0.37,0.37,0.37
