stage,Granulocyte,Immune_cell,Macrophage,Mesenchymal_cell,T_cell
24hpf,0,0,0,1,0
21Day,0,0,0,0.37,0
3Month,0.21,2.5,1.46,0.1,0.31
22Month,0,0.27,0,0.14,0
