stage,Goblet_cell,Granulocyte,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,2,0,0
21Day,0,0,0,0.74,0.37,0
3Month,0.31,0,0.1,0.1,0,0.1
22Month,0,0.27,0,0,0,0
