stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.56,0,0,0,0,0
21Day,0.37,0,0.37,0,0,0,0,0,0.37,0.37,0.37,0.74,14.43,0.37,0,0.37,0,0,0.37,0,0,0.37
3Month,0,0.1,1.46,0.21,0.1,0,0.94,0.42,0,0.21,3.43,0.42,27.15,0.1,0.1,0,0.1,0.21,0,0.1,0.21,0
22Month,0,0,0.14,0.14,0,0.14,1.37,0.14,0,0,0.41,0,0.96,0.27,0,0,0,0,0,0.14,0,0.14
