stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0
3Month,0,0,0.1,0.31,0.31,0.1,0.1,0.1,0.21,0,0.1,1.04,1.14,0.1
22Month,0,0.14,0,0.14,0.55,0,0,0,0,0,0,0.14,0,0
