stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.29,0,0,0,0,2.54,0.56,0,32.69,0,0,0.28,0.28,0,0,0
21Day,0.37,0.37,0.37,1.11,0.74,0,1.85,0,0,0,0,0,0.37,0,0.37,0,0,1.48,0,37.74,0,0,0,0,2.22,0.74,0,27.38,1.48,0,0,0,0,0,0
3Month,0,0,0,0.83,0,0.21,0,0.1,0.21,1.46,0,0,2.39,0.21,0,0.52,0,0.21,0.62,42.54,6.03,0,0.52,0.31,0,0,0.1,0.1,0.1,0.21,0,0.1,0.1,0.62,0.31
22Month,0,0.14,0,0.55,0,0.41,0.14,0,0.27,2.73,0.14,0,9.84,0.27,0.14,1.23,0.27,0.68,0.55,33.62,1.09,0.27,0.41,0,0.14,0,0.27,0.14,0.27,0.68,0,0,0.14,0,0.27
