stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,0,0,0,0,0,0,0,0,0,0,20,1,0,2,0,0,5,0,40,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,2.82,11.56,0,0,0,0.85,0,0,0,0,0,1.13,3.1,0,0.85,0,0,0.85,12.68,5.07,0,0,0,0.85,0,0.28,4.79,0.28,0.28,0,0,0
21Day,0,0,0,5.92,5.92,0,0,0,1.11,0,0,0,0.37,0.37,0.74,2.22,0.74,0.74,0,0,0,2.96,2.22,0,0,0,0.37,0.37,0.37,1.48,0.37,0.74,0,0,0
3Month,0.21,1.25,0.94,46.7,1.98,0.31,0.1,0.94,10.19,0,17.06,4.68,0.31,5.3,11.65,4.99,3.33,2.81,0.52,1.14,2.29,7.07,0.52,1.46,0.52,0,0.1,3.22,21.84,0.52,0,0.62,1.04,370.72,2.18
22Month,0.14,0.14,0.27,17.9,0.27,0.27,0,0,4.51,0.14,3.28,0.14,0.14,0.27,0.82,0.41,0.68,0.27,0,0,0.14,1.23,0,0.14,0.27,0.41,0,0.14,14.62,0.27,0,0,0,0.82,0.14
