stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Ionocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,3,0,2,26,1,0,0,0,0
72hpf,0,0.28,0,0,0,0.85,0,0.56,1.41,0.28,0,0.28,0,0
21Day,0,0,1.85,0.37,0.37,0.37,0.37,0.37,2.22,0,0,0.37,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0.21,0,0.1,0
22Month,0.14,0,0,0,0,0,0,0,0.14,0,0,0,0,0.14
