stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
3Month,0,0.31,1.46,1.04,0.21,0.52,0,3.02,0.21,0.21,0.83,0.21,0.1,0,0,0.1,0.52
22Month,0.14,0.14,0.27,0.27,0.14,2.6,0.27,2.19,0,0.27,0.14,0.41,0,0.14,0.14,0,0.41
