stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1,2,14,0,0,0,0,16,65,0,0,1,0,0,0,0,0,0,0,0
72hpf,9.3,3.1,0,4.79,1.69,9.3,0,0.28,0,0,0,0.28,0,0,0,3.66,20.86,1.41,16.07,0,0.85,0.28,0.56,927.28,47.63,0.85,0.56,20.29,0.28,0.56,9.3,4.23,3.66,1.41,0,0
21Day,5.55,0,0.37,19.98,0.37,24.42,0,3.33,0,0.74,0,3.33,0.37,6.29,2.96,3.7,12.95,4.44,29.97,0,0,2.59,0,453.6,16.28,0,1.48,21.46,10.73,0.37,3.33,4.07,4.07,1.48,0,0.74
3Month,0.1,0.1,0,1.35,0,0,0.1,0,0.52,0.42,0,0.83,0.31,0.1,0.1,0,0.1,0.73,1.35,0.21,0,0,0,3.54,0,0.1,0.1,0,0,1.66,0.62,0,0,0.1,1.35,0.21
22Month,0.14,0,0,0.27,0,0,0,0,0,0.14,0,2.05,0.14,0,0,0,0,0.14,0.68,0,0,0,0,1.64,0,0,0,0.14,0,0,0.14,0,0,0,0,0.14
