stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,1,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,2.25,0.56,0.56,0,1.13,0,0.28,0.28,0,0,0,0,0.28,2.25,0,2.82,0,0.56,0,0,290.3,8.17,0.85,1.13,0,2.54,0,0,1.69,0.56,0,0,0,0,0
21Day,2.22,1.48,5.18,1.11,4.44,0,0.37,0.37,0.37,0,4.44,0.37,0.37,2.96,1.48,6.29,0,0,0,0,157.24,2.59,1.11,1.11,0,1.11,2.96,0.37,0.74,2.59,3.7,0.74,0,0,1.11
3Month,0,0.1,1.98,0.1,0,0.21,0,0.52,2.29,0.42,0,0.52,0,1.25,1.04,0.83,0.21,0,0.21,0.1,1.04,0.1,1.04,0,0,0,0.31,0.52,0,0.1,0,0.1,0.1,0.1,4.06
22Month,0.14,0.14,1.78,0,0,0.14,0.14,0.55,6.29,0.68,0.14,1.09,0.14,0.27,1.37,2.05,0,0.27,0.14,0,5.6,0,1.64,0,0.14,0.14,0.27,3.01,0.82,0,0,0,0,0,4.37
