stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.56,0,0,0,0,0,0,11.84,1.13,0.28,0,0
21Day,0,0,0,0,0,0,0,4.07,1.48,0,0.37,0.74
22Month,0,0.14,0.27,0.27,0.14,0.14,0.14,0,0,0,0,0
