stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,3,0,0,0,0,0,0,0,1,1,13,0,0,0,0,0
72hpf,0.85,0,0.28,0,0,0,0,0,0.28,0.28,1.13,1.97,2.82,0.28,0.28,0,0.56,0
21Day,0.37,0.37,2.96,0.37,0.37,0.37,0.37,0.37,1.11,0.37,4.07,6.66,7.03,0.37,1.48,0.37,1.11,0.37
