stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0,1.97,0,0,0,0.28,0,0,0.28,0,0
21Day,0.37,1.48,0.37,0,0,0,0,0,0,0,0,1.48,0.37,0.74,0,1.48,0.37,0,0,0.37,0.37,0,0,0.37,0
3Month,0.1,1.35,0,0.21,0.42,1.35,0.1,0.1,0.94,0.52,0.21,4.47,0.73,0,1.04,0.1,0,0.31,0,0,0.21,9.36,0,5.41,0.42
22Month,0,0.68,0,0,0.41,0.96,0,0,0.55,0,0,0.82,0.14,0,0,0,0,0,0.14,0,0,2.32,0,0,0
