stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,1,3,25,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,1.13,0,1.41,4.51,0,0,0,0,0,0,0,0,0,0,0,2.25,0,4.51,0,0,0,0,2.54,3.1,0,0,2.82,0,0,0,0,0.56,0,0,0
21Day,2.22,0.37,0,2.59,15.17,0,4.81,0,0,0,0,0.37,0,0.74,0.74,0,1.48,0.74,2.59,0,0,0.37,0,0.74,1.85,0,0,2.59,0,0.37,0.74,0.37,0.37,0,0,0
3Month,0.1,1.46,1.46,10.19,0,0.21,0.52,0.1,5.1,2.6,0,51.28,1.66,0.31,24.76,1.56,7.39,4.16,3.64,0.42,0.1,6.45,2.6,0.21,0.1,0.83,0.73,0.1,1.66,11.96,0.83,0,0,2.18,3.95,1.46
22Month,0.14,1.64,0.68,2.05,0,0,0.14,0,1.09,1.91,0.55,32.8,0.27,0.41,1.64,0.14,0.55,3.14,1.23,0.14,0.55,1.91,0,0,0,0,0.14,0,0,0.14,0.14,0,0,0.14,0,0.82
