stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.28,80.61,6.2,0,0.85,0.28,0,0,0.56,0.28,0.28,0,0,0,0
21Day,0,0.37,1.11,0,2.59,0,0.37,0,0,0,0,0,0.37,0.37,0,1.48,0,0,49.21,2.59,1.11,1.48,0.74,0.74,0.74,1.48,0.74,0,0,0,0,0
3Month,0,0,0.94,0,0,0.21,0.31,0.1,0,1.98,0.31,0.1,0.73,0.31,0,0.52,0.21,0,1.56,0,1.77,0.21,0.1,0.31,4.68,0.52,0,0,0.1,0.52,2.91,0.1
22Month,0.27,0.27,0.55,0,0,0,0.14,0.14,0.14,9.02,0,0,1.5,0,0.14,0.55,0,0,0.41,0,0.96,0.27,0,0,0.96,0.27,0.14,0,0,0,0.14,0.27
