stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.54,2.54,0,0,0,0,0,0,0,0,0,0,0,3.38,0.28,1.13,0,0.28,0,0.85,0.85,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0.37,10.36,1.11,0.74,0,0,0,0.74,0,0.37,0,5.18,1.11,0.37,2.59,3.33,1.11,0,0.37,0,2.22,0,0,0,0.37,0,0,0,0.37,0,0,9.25
3Month,0,0.21,0.31,13.52,0.42,0,0,0.1,2.7,1.66,0,8.32,0.62,0.42,3.64,0.83,5.62,7.28,0.52,0,1.56,0.21,0.1,0,0,0,0.42,2.18,0.1,0.1,0,0.21,0.94,9.05
22Month,0.14,0.41,0.27,4.24,0,0,0.27,0,0.96,2.6,0.55,15.03,0.14,0.96,3.96,0.14,0.96,15.3,0.68,0.27,0.27,0,0.14,0.27,0.14,0.14,0.27,0.27,0,0,0,0.14,0,4.65
