stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,0,5,0,0,0,0,0,0,0,0,1,3,3,5,0,0,0,1,37,444,0,0,0,0,0,0,0,0,1,0,0
72hpf,21.7,1.69,11.27,3.1,16.35,0.28,0,0,0,0.56,0,4.79,31.57,1.97,23.39,0.28,1.41,0.56,0,1909.8,178.41,0.56,0.85,29.88,0.28,0,20.01,1.41,1.97,2.54,0,0
21Day,4.44,0.37,3.7,0,6.29,0.37,0,1.11,0,2.59,1.11,0.37,4.44,2.59,7.4,0,0,0.37,0,227.54,40.33,0.37,0,2.96,4.07,0,5.18,0.37,1.85,0.37,0,1.48
3Month,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0.21,0,0,0,0.31,0.1
22Month,0,0.14,0.14,0,0,0,0,0.14,0.96,0,0.14,0,0,0,0,0,0,0,0,0,0.14,0.14,0,0,0,0.41,0,0,0,0,0,0
