stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,1,1,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0
3Month,0.21,0.1,0.21,0.52,0.21,0,0.1,0,0
22Month,0.68,0.14,3.14,1.09,0.96,0.41,0,0,0.14
