stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0.37,0,0.74,0,0,0,0,0,2.22,0,0.74,1.48,0,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0.74
3Month,0.1,0.31,0.1,2.5,0,0.31,0.31,0.83,6.87,0,2.18,7.7,1.56,1.66,0.94,7.18,0.83,0.1,0,0.42,0.1,0.1,0,0.1,0,0.21,0.1,2.08,0,0.21,0.1,19.35
22Month,0.14,0.27,0.14,0.96,0,0.41,0,0.27,5.06,0.27,6.01,2.6,1.09,0.96,0,3.96,0.68,0,0.27,0.14,0,0.14,0,0.14,0.27,0.14,0,0.27,0,0,0,4.1
