stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,T_cell
24hpf,2,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,5.07,0,0.28,0
21Day,0,0,0,0,0,0,0,0,0,7.77,0,0,0
3Month,0.21,0.1,0,0,0,0.62,0.1,0.1,0.1,0,0,0,0
22Month,0.14,0,0.27,0.27,0.14,2.19,0,0,0.27,0,0.41,0,0.14
