stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.28,0,0,0.28,1.13,0,0,0.28,1.97,2.54,0,0.56,0,0.56,0.28,0
21Day,0,0,1.48,0,0,0,0,1.48,0,0.37,0,1.11,0.37,0,0.37,0.37,0.37,0,0
3Month,0,0,0,0,0.1,0.21,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0.1
22Month,0,0,0,0,0.14,0,0,0.14,0,0,0,0,0,0.14,0,0,0,0,0
