stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast
72hpf,0.28,0,0,0,0,0,0,0.28,0,0.56
21Day,0,0,0,0,1.85,0,0.37,0.37,0.37,1.48
3Month,0,0.1,0,0.1,0,0,0,0,0.1,0
22Month,0.27,0.14,0.14,0.68,0,0.14,0,0,0,0
