stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
72hpf,0,0,0.28,2.25,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0,6.48,1.41,0.56,0.28,0,0.28,0,0,0
21Day,0,0,0.74,0.37,0,0,0,0,0,0,0,0,0.37,0.37,1.11,0,0,0,5.18,0,0.37,0,0,0.37,0.37,0,0
3Month,0.1,0.1,1.04,0,0.21,0.62,0,0.94,0.31,0,0.62,0,0.21,0,0.31,0.42,0.1,0.31,0.21,0.1,0.21,0.1,0.1,0,0,0.21,0.1
22Month,1.09,0,0.14,0,0.27,0.41,0.68,4.78,0,0.14,0.68,0.14,0.41,0.41,1.09,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0
