stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,0,0,0,0,0,0
72hpf,0,0.56,0.28,0,0,0.28,0,0,0,0,0.28,0.28,0,1.41,0.28,7.33,3.38,0.56,0,0,0,0.28,0
21Day,0.74,1.11,1.11,0.37,0,0.37,0.37,0.37,0.37,0.74,0,0.37,0.37,1.11,0,7.03,0.74,0,0,0.37,0.74,0,0.37
3Month,0,0.52,0,0,0.1,0,0.42,0,0.1,0.31,0,0,0,0.31,0.1,0,0.1,0,0.1,0.52,0,0,0.1
