stage,Enterocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
21Day,0,0.37,0,0,0,0,0,0.37,0.37,0,0,0
3Month,0,0.21,0.21,0.1,0.1,0.1,0.1,0,0,0.21,0.1,0.21
22Month,0.14,0,0.27,0,0,0,0,0,0,0,0,0
